,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
COLUMBUS,1995Q2,"$142,984","$84,515","$58,469",40.9%,0.837,0.789
COLUMBUS,1995Q3,"$143,984","$85,014","$58,970",41.0%,0.843,0.797
COLUMBUS,1995Q4,"$145,208","$85,606","$59,602",41.0%,0.850,0.807
COLUMBUS,1996Q1,"$145,847","$86,253","$59,594",40.9%,0.854,0.807
COLUMBUS,1996Q2,"$146,741","$87,170","$59,570",40.6%,0.859,0.808
COLUMBUS,1996Q3,"$147,138","$88,125","$59,013",40.1%,0.862,0.802
COLUMBUS,1996Q4,"$147,920","$89,005","$58,914",39.8%,0.866,0.803
COLUMBUS,1997Q1,"$149,539","$89,743","$59,796",40.0%,0.876,0.817
COLUMBUS,1997Q2,"$150,960","$90,360","$60,600",40.1%,0.884,0.831
COLUMBUS,1997Q3,"$152,445","$90,947","$61,498",40.3%,0.893,0.846
COLUMBUS,1997Q4,"$153,641","$91,583","$62,058",40.4%,0.900,0.857
COLUMBUS,1998Q1,"$154,780","$92,404","$62,376",40.3%,0.906,0.865
COLUMBUS,1998Q2,"$156,682","$93,215","$63,467",40.5%,0.918,0.884
COLUMBUS,1998Q3,"$158,472","$94,050","$64,422",40.7%,0.928,0.900
COLUMBUS,1998Q4,"$160,395","$94,869","$65,526",40.9%,0.939,0.918
COLUMBUS,1999Q1,"$162,196","$95,655","$66,540",41.0%,0.950,0.935
COLUMBUS,1999Q2,"$163,253","$96,424","$66,829",40.9%,0.956,0.942
COLUMBUS,1999Q3,"$165,103","$97,240","$67,863",41.1%,0.967,0.959
COLUMBUS,1999Q4,"$166,741","$98,155","$68,586",41.1%,0.977,0.971
COLUMBUS,2000Q1,"$168,342","$99,012","$69,330",41.2%,0.986,0.980
COLUMBUS,2000Q2,"$170,746","$100,221","$70,525",41.3%,1.000,1.000
COLUMBUS,2000Q3,"$171,482","$101,518","$69,964",40.8%,1.004,0.995
COLUMBUS,2000Q4,"$172,406","$102,834","$69,572",40.4%,1.010,0.994
COLUMBUS,2001Q1,"$174,022","$104,406","$69,615",40.0%,1.019,1.004
COLUMBUS,2001Q2,"$176,052","$105,563","$70,488",40.0%,1.031,1.021
COLUMBUS,2001Q3,"$177,876","$106,619","$71,257",40.1%,1.042,1.036
COLUMBUS,2001Q4,"$179,908","$107,603","$72,304",40.2%,1.054,1.054
COLUMBUS,2002Q1,"$182,370","$108,337","$74,033",40.6%,1.068,1.079
COLUMBUS,2002Q2,"$182,798","$109,223","$73,575",40.2%,1.071,1.074
COLUMBUS,2002Q3,"$184,139","$109,999","$74,139",40.3%,1.078,1.085
COLUMBUS,2002Q4,"$185,983","$110,596","$75,387",40.5%,1.089,1.106
COLUMBUS,2003Q1,"$187,980","$111,100","$76,879",40.9%,1.101,1.133
COLUMBUS,2003Q2,"$189,950","$111,537","$78,413",41.3%,1.112,1.159
COLUMBUS,2003Q3,"$192,494","$112,317","$80,177",41.7%,1.127,1.188
COLUMBUS,2003Q4,"$194,990","$113,753","$81,237",41.7%,1.142,1.206
COLUMBUS,2004Q1,"$197,093","$115,994","$81,099",41.1%,1.154,1.206
COLUMBUS,2004Q2,"$200,964","$118,901","$82,063",40.8%,1.177,1.222
COLUMBUS,2004Q3,"$204,631","$122,038","$82,593",40.4%,1.198,1.233
COLUMBUS,2004Q4,"$207,941","$125,017","$82,924",39.9%,1.218,1.240
COLUMBUS,2005Q1,"$211,963","$127,537","$84,426",39.8%,1.241,1.265
COLUMBUS,2005Q2,"$215,898","$129,729","$86,169",39.9%,1.264,1.294
COLUMBUS,2005Q3,"$220,508","$131,774","$88,734",40.2%,1.291,1.336
COLUMBUS,2005Q4,"$226,781","$133,869","$92,912",41.0%,1.328,1.402
COLUMBUS,2006Q1,"$231,739","$136,131","$95,608",41.3%,1.357,1.446
COLUMBUS,2006Q2,"$235,853","$138,443","$97,409",41.3%,1.381,1.477
COLUMBUS,2006Q3,"$237,847","$140,593","$97,254",40.9%,1.393,1.479
COLUMBUS,2006Q4,"$241,482","$142,387","$99,095",41.0%,1.414,1.511
COLUMBUS,2007Q1,"$244,060","$143,800","$100,261",41.1%,1.429,1.534
COLUMBUS,2007Q2,"$244,184","$144,935","$99,249",40.6%,1.430,1.523
COLUMBUS,2007Q3,"$242,589","$146,270","$96,319",39.7%,1.421,1.482
COLUMBUS,2007Q4,"$240,594","$148,210","$92,384",38.4%,1.409,1.425
COLUMBUS,2008Q1,"$238,139","$150,994","$87,146",36.6%,1.395,1.347
COLUMBUS,2008Q2,"$233,961","$154,137","$79,825",34.1%,1.370,1.236
COLUMBUS,2008Q3,"$230,011","$157,013","$72,998",31.7%,1.347,1.133
COLUMBUS,2008Q4,"$222,509","$158,979","$63,529",28.6%,1.303,0.987
COLUMBUS,2009Q1,"$217,772","$159,616","$58,157",26.7%,1.275,0.905
COLUMBUS,2009Q2,"$215,848","$159,320","$56,528",26.2%,1.264,0.881
COLUMBUS,2009Q3,"$216,442","$158,702","$57,740",26.7%,1.268,0.900
COLUMBUS,2009Q4,"$215,556","$158,365","$57,191",26.5%,1.262,0.892
COLUMBUS,2010Q1,"$213,996","$158,638","$55,358",25.9%,1.253,0.862
COLUMBUS,2010Q2,"$211,162","$159,798","$51,364",24.3%,1.237,0.800
COLUMBUS,2010Q3,"$204,811","$161,486","$43,325",21.2%,1.200,0.676
COLUMBUS,2010Q4,"$200,016","$163,496","$36,520",18.3%,1.171,0.572
COLUMBUS,2011Q1,"$198,640","$165,724","$32,917",16.6%,1.163,0.518
COLUMBUS,2011Q2,"$194,401","$167,790","$26,611",13.7%,1.139,0.420
COLUMBUS,2011Q3,"$192,512","$169,639","$22,873",11.9%,1.127,0.362
COLUMBUS,2011Q4,"$190,535","$171,117","$19,418",10.2%,1.116,0.308
COLUMBUS,2012Q1,"$189,258","$172,131","$17,127",9.0%,1.108,0.272
COLUMBUS,2012Q2,"$192,228","$172,897","$19,331",10.1%,1.126,0.307
COLUMBUS,2012Q3,"$193,950","$173,643","$20,307",10.5%,1.136,0.323
COLUMBUS,2012Q4,"$195,444","$174,610","$20,834",10.7%,1.145,0.333
COLUMBUS,2013Q1,"$196,782","$175,955","$20,827",10.6%,1.152,0.333
COLUMBUS,2013Q2,"$198,493","$177,454","$21,039",10.6%,1.163,0.337
COLUMBUS,2013Q3,"$199,266","$178,809","$20,457",10.3%,1.167,0.329
COLUMBUS,2013Q4,"$199,385","$179,718","$19,667",9.9%,1.168,0.316
COLUMBUS,2014Q1,"$197,581","$179,983","$17,598",8.9%,1.157,0.283
COLUMBUS,2014Q2,"$195,883","$179,850","$16,033",8.2%,1.147,0.259
COLUMBUS,2014Q3,"$196,712","$179,677","$17,035",8.7%,1.152,0.275
COLUMBUS,2014Q4,"$197,491","$179,811","$17,680",9.0%,1.157,0.286
COLUMBUS,2015Q1,"$198,953","$180,472","$18,481",9.3%,1.165,0.299
COLUMBUS,2015Q2,"$199,833","$181,409","$18,424",9.2%,1.170,0.299
COLUMBUS,2015Q3,"$200,889","$182,225","$18,665",9.3%,1.177,0.303
COLUMBUS,2015Q4,"$202,771","$182,535","$20,236",10.0%,1.188,0.329
COLUMBUS,2016Q1,"$203,575","$182,100","$21,475",10.5%,1.192,0.350
COLUMBUS,2016Q2,"$203,875","$181,143","$22,732",11.1%,1.194,0.371
COLUMBUS,2016Q3,"$203,929","$180,085","$23,844",11.7%,1.194,0.390
COLUMBUS,2016Q4,"$203,830","$179,327","$24,503",12.0%,1.194,0.401
COLUMBUS,2017Q1,"$204,450","$179,149","$25,301",12.4%,1.197,0.414
COLUMBUS,2017Q2,"$205,585","$179,533","$26,052",12.7%,1.204,0.427
COLUMBUS,2017Q3,"$206,800","$180,276","$26,524",12.8%,1.211,0.435
COLUMBUS,2017Q4,"$209,445","$181,203","$28,243",13.5%,1.227,0.464
COLUMBUS,2018Q1,"$213,896","$184,120","$29,776",13.9%,1.253,0.490
COLUMBUS,2018Q2,"$215,305","$187,178","$28,127",13.1%,1.261,0.464
DALLAS,1984Q4,"$136,950","$51,651","$85,299",62.3%,0.808,0.818
DALLAS,1985Q1,"$137,621","$52,370","$85,252",61.9%,0.812,0.824
DALLAS,1985Q2,"$138,411","$53,224","$85,186",61.5%,0.817,0.830
DALLAS,1985Q3,"$139,852","$54,184","$85,669",61.3%,0.825,0.841
DALLAS,1985Q4,"$140,738","$55,137","$85,601",60.8%,0.831,0.846
DALLAS,1986Q1,"$140,582","$56,135","$84,447",60.1%,0.830,0.842
DALLAS,1986Q2,"$141,791","$56,854","$84,936",59.9%,0.837,0.852
DALLAS,1986Q3,"$140,682","$57,468","$83,214",59.2%,0.830,0.840
DALLAS,1986Q4,"$139,411","$58,017","$81,394",58.4%,0.823,0.825
DALLAS,1987Q1,"$139,325","$58,448","$80,877",58.0%,0.822,0.823
DALLAS,1987Q2,"$134,570","$58,966","$75,604",56.2%,0.794,0.772
DALLAS,1987Q3,"$133,503","$59,478","$74,025",55.4%,0.788,0.759
DALLAS,1987Q4,"$130,834","$59,966","$70,868",54.2%,0.772,0.729
DALLAS,1988Q1,"$129,957","$60,359","$69,598",53.6%,0.767,0.718
DALLAS,1988Q2,"$129,036","$60,832","$68,203",52.9%,0.761,0.706
DALLAS,1988Q3,"$126,520","$61,327","$65,193",51.5%,0.747,0.677
DALLAS,1988Q4,"$124,733","$61,860","$62,872",50.4%,0.736,0.655
DALLAS,1989Q1,"$123,959","$62,491","$61,468",49.6%,0.732,0.643
DALLAS,1989Q2,"$123,994","$63,097","$60,897",49.1%,0.732,0.640
DALLAS,1989Q3,"$125,377","$63,709","$61,668",49.2%,0.740,0.650
DALLAS,1989Q4,"$125,126","$64,299","$60,826",48.6%,0.738,0.644
DALLAS,1990Q1,"$124,327","$64,782","$59,545",47.9%,0.734,0.631
DALLAS,1990Q2,"$124,494","$65,294","$59,200",47.6%,0.735,0.630
DALLAS,1990Q3,"$125,013","$65,756","$59,257",47.4%,0.738,0.633
DALLAS,1990Q4,"$124,364","$66,146","$58,217",46.8%,0.734,0.624
DALLAS,1991Q1,"$125,128","$66,501","$58,627",46.9%,0.738,0.632
DALLAS,1991Q2,"$125,337","$66,770","$58,567",46.7%,0.740,0.634
DALLAS,1991Q3,"$124,764","$67,046","$57,718",46.3%,0.736,0.627
DALLAS,1991Q4,"$124,754","$67,386","$57,368",46.0%,0.736,0.626
DALLAS,1992Q1,"$126,202","$67,953","$58,249",46.2%,0.745,0.639
DALLAS,1992Q2,"$125,805","$68,449","$57,355",45.6%,0.742,0.632
DALLAS,1992Q3,"$126,518","$68,959","$57,559",45.5%,0.747,0.635
DALLAS,1992Q4,"$127,329","$69,447","$57,883",45.5%,0.751,0.640
DALLAS,1993Q1,"$127,030","$69,686","$57,344",45.1%,0.750,0.633
DALLAS,1993Q2,"$128,306","$70,145","$58,160",45.3%,0.757,0.643
DALLAS,1993Q3,"$129,178","$70,626","$58,553",45.3%,0.762,0.648
DALLAS,1993Q4,"$129,543","$71,124","$58,419",45.1%,0.764,0.649
DALLAS,1994Q1,"$130,164","$71,654","$58,510",45.0%,0.768,0.652
DALLAS,1994Q2,"$130,927","$72,213","$58,713",44.8%,0.773,0.657
DALLAS,1994Q3,"$131,456","$72,838","$58,618",44.6%,0.776,0.659
DALLAS,1994Q4,"$132,066","$73,556","$58,510",44.3%,0.779,0.661
DALLAS,1995Q1,"$132,534","$74,482","$58,052",43.8%,0.782,0.661
DALLAS,1995Q2,"$133,427","$75,352","$58,075",43.5%,0.787,0.664
DALLAS,1995Q3,"$134,599","$76,227","$58,373",43.4%,0.794,0.671
DALLAS,1995Q4,"$135,791","$77,066","$58,725",43.2%,0.801,0.679
DALLAS,1996Q1,"$136,922","$77,769","$59,153",43.2%,0.808,0.686
DALLAS,1996Q2,"$137,980","$78,501","$59,479",43.1%,0.814,0.693
DALLAS,1996Q3,"$138,863","$79,202","$59,662",43.0%,0.819,0.699
DALLAS,1996Q4,"$139,696","$79,879","$59,817",42.8%,0.824,0.705
DALLAS,1997Q1,"$140,762","$80,563","$60,199",42.8%,0.831,0.714
DALLAS,1997Q2,"$141,978","$81,258","$60,720",42.8%,0.838,0.724
DALLAS,1997Q3,"$143,156","$82,020","$61,135",42.7%,0.845,0.734
DALLAS,1997Q4,"$145,220","$82,900","$62,319",42.9%,0.857,0.753
DALLAS,1998Q1,"$147,384","$83,991","$63,393",43.0%,0.870,0.771
DALLAS,1998Q2,"$149,433","$85,084","$64,348",43.1%,0.882,0.788
DALLAS,1998Q3,"$151,937","$86,184","$65,753",43.3%,0.897,0.810
DALLAS,1998Q4,"$154,225","$87,221","$67,004",43.4%,0.910,0.830
DALLAS,1999Q1,"$156,451","$88,174","$68,277",43.6%,0.923,0.851
DALLAS,1999Q2,"$159,174","$88,955","$70,219",44.1%,0.939,0.880
DALLAS,1999Q3,"$161,746","$89,601","$72,145",44.6%,0.955,0.908
DALLAS,1999Q4,"$163,986","$90,114","$73,873",45.0%,0.968,0.934
DALLAS,2000Q1,"$167,186","$90,273","$76,913",46.0%,0.987,0.973
DALLAS,2000Q2,"$169,455","$90,759","$78,696",46.4%,1.000,1.000
DALLAS,2000Q3,"$171,021","$91,439","$79,582",46.5%,1.009,1.017
DALLAS,2000Q4,"$173,678","$92,433","$81,245",46.8%,1.025,1.045
DALLAS,2001Q1,"$177,137","$94,195","$82,941",46.8%,1.045,1.079
DALLAS,2001Q2,"$180,268","$95,710","$84,558",46.9%,1.064,1.107
DALLAS,2001Q3,"$180,884","$97,171","$83,713",46.3%,1.067,1.101
DALLAS,2001Q4,"$182,559","$98,419","$84,140",46.1%,1.077,1.112
DALLAS,2002Q1,"$184,676","$99,113","$85,563",46.3%,1.090,1.131
DALLAS,2002Q2,"$185,494","$99,779","$85,715",46.2%,1.095,1.137
DALLAS,2002Q3,"$185,745","$100,269","$85,476",46.0%,1.096,1.138
DALLAS,2002Q4,"$186,525","$100,650","$85,875",46.0%,1.101,1.147
DALLAS,2003Q1,"$187,387","$101,071","$86,316",46.1%,1.106,1.158
DALLAS,2003Q2,"$186,225","$101,618","$84,607",45.4%,1.099,1.139
DALLAS,2003Q3,"$187,174","$102,610","$84,565",45.2%,1.105,1.142
DALLAS,2003Q4,"$187,431","$104,296","$83,135",44.4%,1.106,1.126
DALLAS,2004Q1,"$188,096","$106,758","$81,339",43.2%,1.110,1.103
DALLAS,2004Q2,"$188,407","$109,849","$78,559",41.7%,1.112,1.069
DALLAS,2004Q3,"$189,640","$113,090","$76,550",40.4%,1.119,1.045
DALLAS,2004Q4,"$190,797","$116,063","$74,734",39.2%,1.126,1.023
DALLAS,2005Q1,"$193,541","$118,415","$75,125",38.8%,1.142,1.031
DALLAS,2005Q2,"$194,927","$120,402","$74,525",38.2%,1.150,1.027
DALLAS,2005Q3,"$195,996","$122,223","$73,773",37.6%,1.157,1.020
DALLAS,2005Q4,"$199,596","$124,144","$75,452",37.8%,1.178,1.048
DALLAS,2006Q1,"$202,062","$126,417","$75,645",37.4%,1.192,1.057
DALLAS,2006Q2,"$201,599","$128,698","$72,900",36.2%,1.190,1.024
DALLAS,2006Q3,"$202,357","$130,878","$71,479",35.3%,1.194,1.009
DALLAS,2006Q4,"$202,957","$132,747","$70,210",34.6%,1.198,0.995
DALLAS,2007Q1,"$204,664","$134,242","$70,422",34.4%,1.208,1.004
DALLAS,2007Q2,"$205,035","$135,548","$69,487",33.9%,1.210,0.995
DALLAS,2007Q3,"$202,870","$137,075","$65,795",32.4%,1.197,0.946
DALLAS,2007Q4,"$200,595","$139,209","$61,386",30.6%,1.184,0.886
DALLAS,2008Q1,"$197,720","$142,158","$55,562",28.1%,1.167,0.804
DALLAS,2008Q2,"$198,314","$145,512","$52,803",26.6%,1.170,0.767
DALLAS,2008Q3,"$197,311","$148,627","$48,683",24.7%,1.164,0.709
DALLAS,2008Q4,"$193,459","$150,874","$42,585",22.0%,1.142,0.622
DALLAS,2009Q1,"$187,916","$151,827","$36,089",19.2%,1.109,0.529
DALLAS,2009Q2,"$190,535","$151,806","$38,729",20.3%,1.124,0.569
DALLAS,2009Q3,"$194,479","$151,324","$43,156",22.2%,1.148,0.635
DALLAS,2009Q4,"$196,089","$150,872","$45,216",23.1%,1.157,0.667
DALLAS,2010Q1,"$194,190","$150,737","$43,453",22.4%,1.146,0.640
DALLAS,2010Q2,"$195,101","$151,287","$43,814",22.5%,1.151,0.647
DALLAS,2010Q3,"$191,331","$152,352","$38,979",20.4%,1.129,0.577
DALLAS,2010Q4,"$189,144","$153,909","$35,235",18.6%,1.116,0.524
DALLAS,2011Q1,"$189,722","$155,986","$33,736",17.8%,1.120,0.505
DALLAS,2011Q2,"$186,471","$158,097","$28,374",15.2%,1.100,0.427
DALLAS,2011Q3,"$187,687","$160,071","$27,616",14.7%,1.108,0.417
DALLAS,2011Q4,"$187,616","$161,604","$26,013",13.9%,1.107,0.394
DALLAS,2012Q1,"$189,024","$162,511","$26,513",14.0%,1.115,0.403
DALLAS,2012Q2,"$192,744","$163,035","$29,709",15.4%,1.137,0.453
DALLAS,2012Q3,"$195,287","$163,483","$31,804",16.3%,1.152,0.487
DALLAS,2012Q4,"$198,243","$164,176","$34,067",17.2%,1.170,0.523
DALLAS,2013Q1,"$201,866","$165,327","$36,538",18.1%,1.191,0.563
DALLAS,2013Q2,"$207,518","$166,805","$40,713",19.6%,1.225,0.629
DALLAS,2013Q3,"$212,940","$168,329","$44,611",21.0%,1.257,0.692
DALLAS,2013Q4,"$218,008","$169,636","$48,373",22.2%,1.287,0.753
DALLAS,2014Q1,"$221,811","$170,520","$51,291",23.1%,1.309,0.801
DALLAS,2014Q2,"$225,433","$171,138","$54,296",24.1%,1.330,0.850
DALLAS,2014Q3,"$229,083","$171,680","$57,403",25.1%,1.352,0.902
DALLAS,2014Q4,"$234,582","$172,360","$62,222",26.5%,1.384,0.981
DALLAS,2015Q1,"$240,725","$173,310","$67,415",28.0%,1.421,1.067
DALLAS,2015Q2,"$244,647","$174,478","$70,169",28.7%,1.444,1.115
DALLAS,2015Q3,"$249,819","$175,726","$74,093",29.7%,1.474,1.182
DALLAS,2015Q4,"$256,463","$176,927","$79,536",31.0%,1.513,1.273
DALLAS,2016Q1,"$261,837","$178,078","$83,758",32.0%,1.545,1.348
DALLAS,2016Q2,"$266,447","$178,956","$87,491",32.8%,1.572,1.414
DALLAS,2016Q3,"$270,396","$179,719","$90,677",33.5%,1.596,1.471
DALLAS,2016Q4,"$277,134","$180,438","$96,695",34.9%,1.635,1.573
DALLAS,2017Q1,"$283,915","$181,023","$102,892",36.2%,1.675,1.676
DALLAS,2017Q2,"$287,679","$181,786","$105,893",36.8%,1.698,1.730
DALLAS,2017Q3,"$289,992","$182,585","$107,407",37.0%,1.711,1.761
DALLAS,2017Q4,"$296,593","$183,432","$113,161",38.2%,1.750,1.861
DALLAS,2018Q1,"$301,967","$186,737","$115,230",38.2%,1.782,1.902
DALLAS,2018Q2,"$303,532","$190,200","$113,333",37.3%,1.791,1.877
DENVER,1984Q4,"$102,346","$73,952","$28,395",27.7%,0.473,0.225
DENVER,1985Q1,"$102,565","$74,104","$28,461",27.7%,0.474,0.227
DENVER,1985Q2,"$101,677","$74,679","$26,998",26.6%,0.470,0.216
DENVER,1985Q3,"$100,916","$75,469","$25,447",25.2%,0.466,0.204
DENVER,1985Q4,"$101,038","$76,248","$24,790",24.5%,0.467,0.199
DENVER,1986Q1,"$103,235","$76,853","$26,382",25.6%,0.477,0.213
DENVER,1986Q2,"$103,453","$77,296","$26,158",25.3%,0.478,0.211
DENVER,1986Q3,"$102,781","$77,664","$25,117",24.4%,0.475,0.203
DENVER,1986Q4,"$102,418","$78,045","$24,373",23.8%,0.473,0.198
DENVER,1987Q1,"$103,451","$78,498","$24,953",24.1%,0.478,0.203
DENVER,1987Q2,"$104,164","$79,030","$25,135",24.1%,0.481,0.204
DENVER,1987Q3,"$103,102","$79,597","$23,505",22.8%,0.476,0.191
DENVER,1987Q4,"$102,656","$80,168","$22,488",21.9%,0.474,0.183
DENVER,1988Q1,"$101,539","$80,689","$20,849",20.5%,0.469,0.170
DENVER,1988Q2,"$99,591","$81,167","$18,424",18.5%,0.460,0.150
DENVER,1988Q3,"$99,194","$81,544","$17,650",17.8%,0.458,0.144
DENVER,1988Q4,"$98,193","$81,777","$16,415",16.7%,0.454,0.134
DENVER,1989Q1,"$97,665","$81,859","$15,806",16.2%,0.451,0.129
DENVER,1989Q2,"$97,823","$81,847","$15,976",16.3%,0.452,0.131
DENVER,1989Q3,"$97,754","$81,846","$15,908",16.3%,0.452,0.130
DENVER,1989Q4,"$98,878","$81,958","$16,920",17.1%,0.457,0.139
DENVER,1990Q1,"$99,482","$82,214","$17,267",17.4%,0.460,0.142
DENVER,1990Q2,"$99,804","$82,641","$17,162",17.2%,0.461,0.141
DENVER,1990Q3,"$100,160","$83,118","$17,042",17.0%,0.463,0.141
DENVER,1990Q4,"$100,202","$83,557","$16,645",16.6%,0.463,0.138
DENVER,1991Q1,"$100,771","$83,911","$16,860",16.7%,0.465,0.140
DENVER,1991Q2,"$101,984","$84,204","$17,780",17.4%,0.471,0.148
DENVER,1991Q3,"$103,863","$84,528","$19,335",18.6%,0.480,0.162
DENVER,1991Q4,"$105,028","$84,952","$20,076",19.1%,0.485,0.169
DENVER,1992Q1,"$107,551","$85,608","$21,943",20.4%,0.497,0.187
DENVER,1992Q2,"$110,609","$86,289","$24,320",22.0%,0.511,0.208
DENVER,1992Q3,"$111,925","$86,989","$24,937",22.3%,0.517,0.215
DENVER,1992Q4,"$113,578","$87,646","$25,932",22.8%,0.525,0.224
DENVER,1993Q1,"$116,217","$88,152","$28,065",24.1%,0.537,0.243
DENVER,1993Q2,"$118,542","$88,698","$29,844",25.2%,0.548,0.259
DENVER,1993Q3,"$122,367","$89,277","$33,090",27.0%,0.565,0.288
DENVER,1993Q4,"$126,502","$89,944","$36,557",28.9%,0.584,0.319
DENVER,1994Q1,"$130,430","$90,693","$39,737",30.5%,0.603,0.348
DENVER,1994Q2,"$133,838","$91,589","$42,249",31.6%,0.618,0.371
DENVER,1994Q3,"$136,285","$92,529","$43,756",32.1%,0.630,0.386
DENVER,1994Q4,"$138,225","$93,456","$44,769",32.4%,0.639,0.397
DENVER,1995Q1,"$140,454","$94,436","$46,018",32.8%,0.649,0.411
DENVER,1995Q2,"$142,099","$95,254","$46,845",33.0%,0.656,0.421
DENVER,1995Q3,"$144,444","$96,068","$48,376",33.5%,0.667,0.437
DENVER,1995Q4,"$146,761","$96,926","$49,835",34.0%,0.678,0.452
DENVER,1996Q1,"$148,119","$97,786","$50,333",34.0%,0.684,0.458
DENVER,1996Q2,"$150,539","$98,779","$51,760",34.4%,0.695,0.473
DENVER,1996Q3,"$151,499","$99,770","$51,729",34.1%,0.700,0.475
DENVER,1996Q4,"$153,706","$100,708","$52,998",34.5%,0.710,0.489
DENVER,1997Q1,"$155,852","$101,576","$54,276",34.8%,0.720,0.504
DENVER,1997Q2,"$158,293","$102,361","$55,932",35.3%,0.731,0.522
DENVER,1997Q3,"$160,809","$103,144","$57,665",35.9%,0.743,0.541
DENVER,1997Q4,"$163,305","$103,984","$59,321",36.3%,0.754,0.560
DENVER,1998Q1,"$166,534","$104,938","$61,596",37.0%,0.769,0.585
DENVER,1998Q2,"$169,523","$105,948","$63,575",37.5%,0.783,0.607
DENVER,1998Q3,"$173,829","$106,983","$66,846",38.5%,0.803,0.641
DENVER,1998Q4,"$178,450","$107,992","$70,458",39.5%,0.824,0.680
DENVER,1999Q1,"$184,298","$109,043","$75,255",40.8%,0.851,0.731
DENVER,1999Q2,"$190,345","$110,008","$80,338",42.2%,0.879,0.784
DENVER,1999Q3,"$196,701","$111,072","$85,629",43.5%,0.909,0.840
DENVER,1999Q4,"$203,324","$112,338","$90,986",44.7%,0.939,0.896
DENVER,2000Q1,"$209,145","$113,588","$95,556",45.7%,0.966,0.941
DENVER,2000Q2,"$216,481","$115,405","$101,076",46.7%,1.000,1.000
DENVER,2000Q3,"$224,982","$117,398","$107,584",47.8%,1.039,1.070
DENVER,2000Q4,"$232,675","$119,444","$113,231",48.7%,1.075,1.132
DENVER,2001Q1,"$239,709","$121,848","$117,861",49.2%,1.107,1.190
DENVER,2001Q2,"$245,269","$123,637","$121,632",49.6%,1.133,1.235
DENVER,2001Q3,"$248,780","$125,228","$123,552",49.7%,1.149,1.261
DENVER,2001Q4,"$250,219","$126,640","$123,580",49.4%,1.156,1.266
DENVER,2002Q1,"$252,029","$127,819","$124,210",49.3%,1.164,1.277
DENVER,2002Q2,"$254,765","$128,933","$125,832",49.4%,1.177,1.297
DENVER,2002Q3,"$256,390","$129,863","$126,526",49.3%,1.184,1.308
DENVER,2002Q4,"$257,974","$130,579","$127,395",49.4%,1.192,1.320
DENVER,2003Q1,"$258,700","$131,028","$127,672",49.4%,1.195,1.325
DENVER,2003Q2,"$258,323","$131,718","$126,605",49.0%,1.193,1.316
DENVER,2003Q3,"$258,193","$132,949","$125,244",48.5%,1.193,1.304
DENVER,2003Q4,"$260,778","$135,107","$125,671",48.2%,1.205,1.311
DENVER,2004Q1,"$264,624","$138,331","$126,293",47.7%,1.222,1.318
DENVER,2004Q2,"$266,318","$142,414","$123,903",46.5%,1.230,1.295
DENVER,2004Q3,"$267,956","$146,702","$121,254",45.3%,1.238,1.270
DENVER,2004Q4,"$271,432","$150,630","$120,803",44.5%,1.254,1.268
DENVER,2005Q1,"$275,909","$153,738","$122,171",44.3%,1.275,1.284
DENVER,2005Q2,"$277,781","$156,234","$121,546",43.8%,1.283,1.281
DENVER,2005Q3,"$278,439","$158,368","$120,071",43.1%,1.286,1.268
DENVER,2005Q4,"$282,299","$160,434","$121,865",43.2%,1.304,1.291
DENVER,2006Q1,"$286,193","$162,655","$123,538",43.2%,1.322,1.313
DENVER,2006Q2,"$285,213","$164,939","$120,274",42.2%,1.317,1.282
DENVER,2006Q3,"$283,691","$167,173","$116,518",41.1%,1.310,1.246
DENVER,2006Q4,"$282,697","$169,234","$113,463",40.1%,1.306,1.218
DENVER,2007Q1,"$282,464","$171,171","$111,293",39.4%,1.305,1.200
DENVER,2007Q2,"$281,209","$172,941","$108,268",38.5%,1.299,1.172
DENVER,2007Q3,"$281,106","$174,932","$106,174",37.8%,1.299,1.153
DENVER,2007Q4,"$273,818","$177,392","$96,426",35.2%,1.265,1.051
DENVER,2008Q1,"$268,450","$180,490","$87,960",32.8%,1.240,0.962
DENVER,2008Q2,"$267,730","$183,866","$83,864",31.3%,1.237,0.920
DENVER,2008Q3,"$266,420","$187,011","$79,409",29.8%,1.231,0.873
DENVER,2008Q4,"$261,566","$189,409","$72,157",27.6%,1.208,0.795
DENVER,2009Q1,"$254,292","$190,694","$63,598",25.0%,1.175,0.703
DENVER,2009Q2,"$255,759","$191,098","$64,661",25.3%,1.181,0.716
DENVER,2009Q3,"$260,942","$190,974","$69,968",26.8%,1.205,0.776
DENVER,2009Q4,"$263,033","$190,655","$72,378",27.5%,1.215,0.805
DENVER,2010Q1,"$263,246","$190,277","$72,969",27.7%,1.216,0.811
DENVER,2010Q2,"$263,767","$190,502","$73,265",27.8%,1.218,0.816
DENVER,2010Q3,"$258,577","$191,318","$67,259",26.0%,1.194,0.752
DENVER,2010Q4,"$257,295","$192,935","$64,360",25.0%,1.189,0.722
DENVER,2011Q1,"$255,492","$195,578","$59,913",23.5%,1.180,0.677
DENVER,2011Q2,"$254,717","$198,430","$56,287",22.1%,1.177,0.639
DENVER,2011Q3,"$254,443","$201,108","$53,335",21.0%,1.175,0.608
DENVER,2011Q4,"$256,253","$203,077","$53,176",20.8%,1.184,0.609
DENVER,2012Q1,"$257,837","$203,927","$53,910",20.9%,1.191,0.619
